Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
C36,22,15,-67.94,147.48,wilke,3/5/2021
D15A,51,24,-66.64,81.91,amere (grounded),3/5/2021
D15B,33,12,-66.99,81.58,amere (grounded),3/5/2021
D20A,19,9,-68.65,36.26,amerw (grounded),3/5/2021
D21B,9,4,-60.23,-30.41,belle,3/5/2021
D23,8,6,-69.43,74.66,amere (grounded),3/5/2021
D26,19,2,-69.36,29.4,wedde (grounded),3/5/2021
D27,8,5,-68.33,76.03,amere,3/5/2021
D28,29,19,-66.32,47.35,amerw,3/5/2021
A23A,40,34,-75.7,-39.88,belle,3/12/2021
A63,11,3,-70.23,-56.37,belle,3/12/2021
A64,12,8,-68.47,-60.71,belle,3/12/2021
A68A,24,6,-56.12,-32.03,belle,3/12/2021
A68G,3,2,-55.41,-35.87,belle,3/12/2021
A68H,4,1,-52.98,-36.4,belle,3/12/2021
A68J,7,1,-53.71,-35.96,belle,3/12/2021
A68M,2,2,-56.6,-36.05,belle,3/12/2021
A69A,10,9,-67.74,-61.21,belle,3/12/2021
A69B,10,7,-67.31,-61.03,belle,3/12/2021
A70,8,5,-71.06,-59.75,belle,3/12/2021
A71,8,3,-71.21,-60.01,belle,3/12/2021
A74,30,18,-75.22,-25.78,belle,3/12/2021
B09B,24,8,-66.28,143.43,wilke,3/12/2021
B09G,11,7,-68.14,41.83,amerw,3/12/2021
B09I,12,6,-69.82,-43.3,belle,3/12/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),3/12/2021
B22A,38,24,-73.92,-109.37,amune (grounded),3/12/2021
B28,9,6,-74.67,-108.77,amune (grounded),3/12/2021
B29,11,5,-74.51,-108.91,amune (grounded),3/12/2021
B37,8,3,-72.6,-111.91,amune,3/12/2021
B38,6,4,-76.98,-154.99,rosse,3/12/2021
B39,8,4,-67.13,44.51,amerw,3/12/2021
B40,6,5,-65.64,132.17,wilke (grounded),3/12/2021
B42,12,4,-72.68,-127.21,amunw,3/12/2021
B45,7,6,-74.69,-109.34,amune (grounded),3/12/2021
B46,10,4,-72.52,-112.25,amune,3/12/2021
B47,12,5,-73.8,-133.85,amunw (grounded),3/12/2021
B50,15,6,-74.12,-144.51,amunw,3/12/2021
C15,12,8,-65.98,143.29,wilke,3/12/2021
C18B,19,4,-64.97,93.86,wilkw,3/12/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),3/12/2021
C24,11,2,-64.84,96.02,wilkw (grounded),3/12/2021
C29,5,5,-66.08,142.84,wilke,3/12/2021
C30,9,3,-64.78,96.3,wilkw (grounded),3/12/2021
C31,9,3,-64.68,96.51,wilkw (grounded),3/12/2021
C33,8,4,-65.44,126.69,wilke,3/12/2021
C35,7,5,-67.99,147.9,wilke,3/12/2021
C36,22,15,-67.94,147.48,wilke,3/12/2021
D15A,51,24,-66.64,81.91,amere (grounded),3/12/2021
D15B,33,12,-66.99,81.58,amere (grounded),3/12/2021
D20A,19,9,-68.65,36.26,amerw (grounded),3/12/2021
D21B,9,4,-59.99,-30.2,belle,3/12/2021
D23,8,6,-69.43,74.66,amere (grounded),3/12/2021
D26,19,2,-69.36,29.4,wedde (grounded),3/12/2021
D27,8,5,-68.35,75.51,amere,3/12/2021
D28,29,19,-66.57,46.54,amerw,3/12/2021
A23A,40,34,-75.7,-39.88,belle,3/19/2021
A63,11,3,-69.75,-56.84,belle,3/19/2021
A64,12,8,-68.4,-60.86,belle,3/19/2021
A68A,22,6,-55.74,-33.37,belle,3/19/2021
A69A,10,9,-67.73,-61.24,belle,3/19/2021
A69B,10,7,-67.31,-61.03,belle,3/19/2021
A70,8,5,-70.72,-59.82,belle,3/19/2021
A71,8,3,-70.89,-60.02,belle,3/19/2021
A74,30,18,-75.23,-25.88,belle,3/19/2021
B09B,24,8,-66.27,143.42,wilke,3/19/2021
B09G,11,7,-68.18,41.83,amerw,3/19/2021
B09I,12,6,-69.65,-43.67,belle,3/19/2021
B15AB,11,4,-66.02,51.1,amerw (grounded),3/19/2021
B22A,38,24,-73.92,-109.37,amune (grounded),3/19/2021
B28,9,6,-74.67,-108.77,amune (grounded),3/19/2021
B29,11,5,-74.51,-108.91,amune (grounded),3/19/2021
B37,8,3,-72.57,-111.96,amune,3/19/2021
B38,6,4,-76.97,-154.98,rosse,3/19/2021
B39,8,4,-67.12,41.92,amerw,3/19/2021
B40,6,5,-65.63,132.17,wilke (grounded),3/19/2021
B42,12,4,-73.48,-128.44,amunw,3/19/2021
B45,7,6,-74.69,-109.34,amune (grounded),3/19/2021
B46,10,4,-72.48,-112.32,amune,3/19/2021
B47,12,5,-73.8,-133.85,amunw (grounded),3/19/2021
B50,15,6,-73.83,-144.82,amunw,3/19/2021
C15,12,8,-65.98,143.29,wilke,3/19/2021
C18B,19,4,-65.3,94.61,wilkw,3/19/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),3/19/2021
C24,11,2,-64.84,96.02,wilkw (grounded),3/19/2021
C29,5,5,-66.11,142.91,wilke,3/19/2021
C30,9,3,-64.78,96.3,wilkw (grounded),3/19/2021
C31,9,3,-64.68,96.51,wilkw (grounded),3/19/2021
C33,8,4,-65.44,126.65,wilke,3/19/2021
C35,7,5,-67.96,147.95,wilke,3/19/2021
C36,22,15,-67.94,147.48,wilke,3/19/2021
D15A,51,24,-66.64,81.91,amere (grounded),3/19/2021
D15B,33,12,-66.99,81.58,amere (grounded),3/19/2021
D20A,19,9,-68.65,36.26,amerw (grounded),3/19/2021
D21B,9,4,-59.72,-29.47,weddw,3/19/2021
D23,8,6,-69.43,74.66,amere (grounded),3/19/2021
D26,19,2,-69.36,29.4,wedde (grounded),3/19/2021
D27,8,5,-68.2,75.08,amere,3/19/2021
D28,29,19,-66.85,45.85,amerw,3/19/2021
A23A,40,34,-75.7,-39.74,belle,3/26/2021
A63,11,3,-69.61,-56.7,belle,3/26/2021
A64,12,8,-68.36,-60.78,belle,3/26/2021
A68A,20,6,-55.02,-33.76,belle,3/26/2021
A69A,10,9,-67.74,-61.21,belle,3/26/2021
A69B,10,7,-67.35,-61.04,belle,3/26/2021
A70,8,5,-70.47,-59.85,belle,3/26/2021
A71,8,3,-70.64,-60,belle,3/26/2021
A74,30,18,-75.21,-25.96,belle,3/26/2021
A75,8,3,-74.13,-60.49,belle,3/26/2021
B09B,24,8,-66.27,143.43,wilke,3/26/2021
B09G,11,7,-68.2,41.82,amerw,3/26/2021
B09I,12,6,-69.55,-44.38,belle,3/26/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),3/26/2021
B22A,38,24,-73.92,-109.37,amune (grounded),3/26/2021
B28,9,6,-74.67,-108.77,amune (grounded),3/26/2021
B29,11,5,-74.51,-108.91,amune (grounded),3/26/2021
B37,8,3,-72.56,-111.96,amune,3/26/2021
B38,6,4,-76.94,-155,rosse,3/26/2021
B39,8,4,-67.2,41.1,amerw,3/26/2021
B40,6,5,-65.63,132.17,wilke (grounded),3/26/2021
B42,12,4,-73.33,-129.15,amunw,3/26/2021
B45,7,6,-74.69,-109.34,amune (grounded),3/26/2021
B46,10,4,-72.49,-112.36,amune,3/26/2021
B47,12,5,-73.8,-133.85,amunw (grounded),3/26/2021
B50,15,6,-73.86,-145.56,amunw,3/26/2021
C15,12,8,-65.98,143.29,wilke,3/26/2021
C18B,19,4,-65.59,95.16,wilkw,3/26/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),3/26/2021
C24,11,2,-64.84,96.02,wilkw (grounded),3/26/2021
C29,5,5,-66.1,142.9,wilke,3/26/2021
C30,9,3,-64.78,96.3,wilkw (grounded),3/26/2021
C31,9,3,-64.68,96.51,wilkw (grounded),3/26/2021
C33,8,4,-65.44,126.65,wilke,3/26/2021
C35,7,5,-67.77,148.24,wilke,3/26/2021
C36,22,15,-67.94,147.48,wilke,3/26/2021
D15A,51,24,-66.64,81.91,amere (grounded),3/26/2021
D15B,33,12,-66.99,81.58,amere (grounded),3/26/2021
D20A,19,9,-68.65,36.26,amerw (grounded),3/26/2021
D21B,9,4,-59.3,-29.16,weddw,3/26/2021
D23,8,6,-69.43,74.66,amere (grounded),3/26/2021
D26,19,2,-69.36,29.4,wedde (grounded),3/26/2021
D27,8,5,-68.01,75.21,amere,3/26/2021
D28,29,19,-66.99,44.73,amerw,3/26/2021
A23A,40,34,-75.7,-39.75,belle,4/2/2021
A63,11,3,-69.59,-56.87,belle,4/2/2021
A64,12,8,-68.35,-60.83,belle,4/2/2021
A68A,16,6,-53.78,-34.45,belle,4/2/2021
A69A,10,9,-67.74,-61.21,belle,4/2/2021
A69B,10,7,-67.36,-61.08,belle,4/2/2021
A70,8,5,-70.47,-59.85,belle,4/2/2021
A71,8,3,-70.67,-60.04,belle,4/2/2021
A74,30,18,-75.21,-25.94,belle,4/2/2021
A75,8,3,-73.96,-60.38,belle,4/2/2021
B09B,24,8,-66.27,143.4,wilke,4/2/2021
B09G,11,7,-68.19,41.81,amerw,4/2/2021
B09I,12,6,-69.39,-44.63,belle,4/2/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),4/2/2021
B22A,38,24,-73.92,-109.37,amune (grounded),4/2/2021
B28,9,6,-74.67,-108.77,amune (grounded),4/2/2021
B29,11,5,-74.51,-108.91,amune (grounded),4/2/2021
B37,8,3,-72.57,-112.11,amune,4/2/2021
B38,6,4,-76.95,-155,rosse,4/2/2021
B39,8,4,-67.86,40.96,amerw,4/2/2021
B40,6,5,-65.64,132.17,wilke (grounded),4/2/2021
B42,12,4,-73.45,-130.96,amunw,4/2/2021
B45,7,6,-74.69,-109.34,amune (grounded),4/2/2021
B46,10,4,-72.47,-112.49,amune,4/2/2021
B47,12,5,-73.8,-133.85,amunw (grounded),4/2/2021
B50,15,6,-74.14,-145.58,amunw,4/2/2021
C15,12,8,-65.97,143.29,wilke,4/2/2021
C18B,19,4,-65.96,93.5,wilkw,4/2/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),4/2/2021
C24,11,2,-64.84,96.02,wilkw (grounded),4/2/2021
C29,5,5,-66.08,142.84,wilke,4/2/2021
C30,9,3,-64.78,96.3,wilkw (grounded),4/2/2021
C31,9,3,-64.68,96.51,wilkw (grounded),4/2/2021
C33,8,4,-65.44,126.65,wilke,4/2/2021
C35,7,5,-67.69,148.33,wilke,4/2/2021
C36,22,15,-67.94,147.48,wilke,4/2/2021
D15A,51,24,-66.64,81.91,amere (grounded),4/2/2021
D15B,33,12,-66.99,81.58,amere (grounded),4/2/2021
D20A,19,9,-68.65,36.26,amerw (grounded),4/2/2021
D21B,9,4,-59.2,-28.54,weddw,4/2/2021
D23,8,6,-69.43,74.66,amere (grounded),4/2/2021
D26,19,2,-69.36,29.4,wedde (grounded),4/2/2021
D27,8,5,-67.96,74.67,amere,4/2/2021
D28,29,19,-67.26,43.56,amerw,4/2/2021
A23A,40,34,-75.71,-39.64,belle,4/9/2021
A63,11,3,-69.45,-56.78,belle,4/9/2021
A64,12,8,-68.27,-60.8,belle,4/9/2021
A68A,16,6,-53.18,-33.8,belle,4/9/2021
A69A,10,9,-67.7,-61.18,belle,4/9/2021
A69B,10,7,-67.36,-60.97,belle,4/9/2021
A70,8,5,-70.23,-60.09,belle,4/9/2021
A71,8,3,-70.37,-60.28,belle,4/9/2021
A74,30,18,-75.2,-25.89,belle,4/9/2021
A75,8,3,-73.56,-60.27,belle,4/9/2021
B09B,24,8,-66.27,143.4,wilke,4/9/2021
B09G,11,7,-68.2,41.82,amerw,4/9/2021
B09I,12,6,-69.28,-44.85,belle,4/9/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),4/9/2021
B22A,38,24,-73.92,-109.37,amune (grounded),4/9/2021
B28,9,6,-74.67,-108.77,amune (grounded),4/9/2021
B29,11,5,-74.51,-108.91,amune (grounded),4/9/2021
B37,8,3,-72.56,-112.2,amune,4/9/2021
B38,6,4,-76.99,-155.02,rosse,4/9/2021
B39,8,4,-68.01,40.95,amerw,4/9/2021
B40,6,5,-65.64,132.17,wilke (grounded),4/9/2021
B42,12,4,-73.42,-131.77,amunw,4/9/2021
B45,7,6,-74.69,-109.34,amune (grounded),4/9/2021
B46,10,4,-72.45,-112.56,amune,4/9/2021
B47,12,5,-73.79,-133.79,amunw (grounded),4/9/2021
B50,15,6,-74.13,-144.97,amunw,4/9/2021
C15,12,8,-65.97,143.29,wilke,4/9/2021
C18B,19,4,-66.25,90.98,wilkw,4/9/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),4/9/2021
C24,11,2,-64.84,96.02,wilkw (grounded),4/9/2021
C29,5,5,-66.08,142.84,wilke,4/9/2021
C30,9,3,-64.78,96.3,wilkw (grounded),4/9/2021
C31,9,3,-64.68,96.51,wilkw (grounded),4/9/2021
C33,8,4,-65.44,126.65,wilke,4/9/2021
C35,7,5,-67.67,148.24,wilke,4/9/2021
C36,22,15,-67.94,147.48,wilke,4/9/2021
D15A,51,24,-66.64,81.91,amere (grounded),4/9/2021
D15B,33,12,-66.99,81.58,amere (grounded),4/9/2021
D20A,19,9,-68.61,36.33,amerw (grounded),4/9/2021
D21B,9,4,-59.04,-27.77,weddw,4/9/2021
D23,8,6,-69.43,74.66,amere (grounded),4/9/2021
D26,19,2,-69.36,29.4,wedde (grounded),4/9/2021
D27,8,5,-67.95,73.34,amere,4/9/2021
D28,29,19,-67.3,42.63,amerw,4/9/2021
A23A,40,34,-75.71,-39.64,belle,4/16/2021
A63,11,3,-69.19,-57.09,belle,4/16/2021
A64,12,8,-68.21,-60.95,belle,4/16/2021
A68A,3,2,-52.86,-33.53,belle,4/16/2021
A69A,10,9,-67.67,-61.24,belle,4/16/2021
A69B,10,7,-67.34,-61,belle,4/16/2021
A70,8,5,-70.17,-60.12,belle,4/16/2021
A71,8,3,-70.31,-60.32,belle,4/16/2021
A74,30,18,-75.24,-26.03,belle,4/16/2021
A75,8,3,-73.42,-60.11,belle,4/16/2021
B09B,24,8,-66.27,143.4,wilke,4/16/2021
B09G,11,7,-68.2,41.82,amerw,4/16/2021
B09I,12,6,-68.98,-45.58,belle,4/16/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),4/16/2021
B22A,38,24,-73.92,-109.37,amune (grounded),4/16/2021
B28,9,6,-74.67,-108.77,amune (grounded),4/16/2021
B29,11,5,-74.51,-108.91,amune (grounded),4/16/2021
B37,8,3,-72.56,-112.2,amune,4/16/2021
B38,6,4,-76.99,-155.02,rosse,4/16/2021
B39,8,4,-67.96,39.75,amerw,4/16/2021
B40,6,5,-65.65,132.17,wilke (grounded),4/16/2021
B42,12,4,-73.26,-133.03,amunw,4/16/2021
B45,7,6,-74.69,-109.34,amune (grounded),4/16/2021
B46,10,4,-72.45,-112.56,amune,4/16/2021
B47,12,5,-73.8,-133.84,amunw (grounded),4/16/2021
B50,15,6,-73.8,-145.45,amunw,4/16/2021
C15,12,8,-65.97,143.29,wilke,4/16/2021
C18B,19,4,-66.6,89.54,amere,4/16/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),4/16/2021
C24,11,2,-64.84,96.02,wilkw (grounded),4/16/2021
C29,5,5,-66.08,142.84,wilke,4/16/2021
C30,9,3,-64.78,96.3,wilkw (grounded),4/16/2021
C31,9,3,-64.68,96.51,wilkw (grounded),4/16/2021
C33,8,4,-65.44,126.64,wilke,4/16/2021
C35,7,5,-67.66,148.23,wilke,4/16/2021
C36,22,15,-67.94,147.48,wilke,4/16/2021
D15A,51,24,-66.64,81.91,amere (grounded),4/16/2021
D15B,33,12,-66.99,81.58,amere (grounded),4/16/2021
D20A,19,9,-68.55,36.36,amerw (grounded),4/16/2021
D21B,9,4,-58.99,-27.44,weddw,4/16/2021
D23,8,6,-69.43,74.66,amere (grounded),4/16/2021
D26,19,2,-69.36,29.4,wedde (grounded),4/16/2021
D27,8,5,-67.34,71.83,amere,4/16/2021
D28,29,19,-67.77,40.97,amerw,4/16/2021
A23A,40,34,-75.71,-39.72,belle,4/23/2021
A63,11,3,-69.19,-56.82,belle,4/23/2021
A64,11,8,-68.13,-60.85,belle,4/23/2021
A69A,10,9,-67.69,-61.19,belle,4/23/2021
A69B,10,7,-67.33,-60.82,belle,4/23/2021
A70,8,5,-70.1,-60.14,belle,4/23/2021
A71,8,3,-70.24,-60.41,belle,4/23/2021
A74,30,18,-75.25,-26.11,belle,4/23/2021
A75,8,3,-72.99,-59.81,belle,4/23/2021
B09B,24,8,-66.27,143.4,wilke,4/23/2021
B09G,11,7,-68.2,41.81,amerw,4/23/2021
B09I,12,6,-68.39,-45.5,belle,4/23/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),4/23/2021
B22A,38,24,-73.92,-109.39,amune (grounded),4/23/2021
B28,9,6,-74.67,-108.77,amune (grounded),4/23/2021
B29,11,5,-74.51,-108.91,amune (grounded),4/23/2021
B37,8,3,-72.54,-112.22,amune,4/23/2021
B38,6,4,-76.99,-155.02,rosse,4/23/2021
B39,8,4,-68.26,35.72,amerw,4/23/2021
B40,6,5,-65.65,132.17,wilke (grounded),4/23/2021
B42,12,4,-73.25,-134.25,amunw,4/23/2021
B45,7,6,-74.69,-109.34,amune (grounded),4/23/2021
B46,10,4,-72.31,-112.74,amune,4/23/2021
B47,12,5,-73.8,-133.84,amunw (grounded),4/23/2021
B50,15,6,-73.74,-146.02,amunw,4/23/2021
C15,12,8,-65.97,143.29,wilke,4/23/2021
C18B,19,4,-66.59,89.55,amere,4/23/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),4/23/2021
C24,11,2,-64.84,96.02,wilkw (grounded),4/23/2021
C29,5,5,-66.08,142.84,wilke,4/23/2021
C30,9,3,-64.78,96.3,wilkw (grounded),4/23/2021
C31,9,3,-64.68,96.51,wilkw (grounded),4/23/2021
C33,8,4,-65.43,126.63,wilke,4/23/2021
C35,7,5,-67.64,148.21,wilke,4/23/2021
C36,22,15,-67.94,147.48,wilke,4/23/2021
D15A,51,24,-66.64,81.91,amere (grounded),4/23/2021
D15B,33,12,-66.99,81.58,amere (grounded),4/23/2021
D20A,19,9,-68.46,36.27,amerw,4/23/2021
D21B,9,4,-58.1,-26.61,weddw,4/23/2021
D23,8,6,-69.43,74.66,amere (grounded),4/23/2021
D26,19,2,-69.36,29.4,wedde (grounded),4/23/2021
D27,8,5,-66.9,69.08,amere,4/23/2021
D28,29,19,-68.16,39.42,amerw,4/23/2021
A23A,40,34,-75.7,-39.8,belle,4/30/2021
A63,11,3,-68.73,-57.21,belle,4/30/2021
A64,11,8,-67.98,-61.24,belle,4/30/2021
A69A,10,9,-67.66,-61.28,belle,4/30/2021
A69B,10,7,-67.26,-60.72,belle,4/30/2021
A70,8,5,-69.75,-60.38,belle,4/30/2021
A71,8,3,-69.89,-60.71,belle,4/30/2021
A74,30,18,-75.22,-26.07,belle,4/30/2021
A75,8,3,-72.83,-59.73,belle,4/30/2021
B09B,24,8,-66.27,143.4,wilke,4/30/2021
B09G,11,7,-68.2,41.81,amerw,4/30/2021
B09I,12,6,-68.11,-45.3,belle,4/30/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),4/30/2021
B22A,38,24,-73.92,-109.39,amune (grounded),4/30/2021
B28,9,6,-74.67,-108.77,amune (grounded),4/30/2021
B29,11,5,-74.51,-108.91,amune (grounded),4/30/2021
B37,8,3,-72.53,-112.27,amune,4/30/2021
B38,6,4,-77.01,-155.06,rosse,4/30/2021
B39,8,4,-68.46,34.08,amerw,4/30/2021
B40,6,5,-65.63,132.17,wilke (grounded),4/30/2021
B42,12,4,-73.32,-133.8,amunw,4/30/2021
B45,7,6,-74.69,-109.34,amune (grounded),4/30/2021
B46,10,4,-72.32,-113.01,amune,4/30/2021
B47,12,5,-73.8,-133.85,amunw (grounded),4/30/2021
B50,15,6,-74,-145.21,amunw,4/30/2021
C15,12,8,-65.97,143.29,wilke,4/30/2021
C18B,19,4,-66.59,89.55,amere,4/30/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),4/30/2021
C24,11,2,-64.84,96.02,wilkw (grounded),4/30/2021
C29,5,5,-66.08,142.84,wilke,4/30/2021
C30,9,3,-64.78,96.3,wilkw (grounded),4/30/2021
C31,9,3,-64.68,96.51,wilkw (grounded),4/30/2021
C33,8,4,-65.43,126.63,wilke,4/30/2021
C35,7,5,-67.64,148.09,wilke,4/30/2021
C36,22,15,-67.94,147.48,wilke,4/30/2021
D15A,51,24,-66.64,81.91,amere (grounded),4/30/2021
D15B,33,12,-66.99,81.58,amere (grounded),4/30/2021
D20A,19,9,-68.41,36.22,amerw,4/30/2021
D21B,9,4,-57.89,-26.53,weddw,4/30/2021
D23,8,6,-69.43,74.66,amere (grounded),4/30/2021
D26,19,2,-69.36,29.4,wedde (grounded),4/30/2021
D27,8,5,-66.91,67,amere,4/30/2021
D28,29,19,-68.18,37.23,amerw,4/30/2021
A23A,40,34,-75.64,-40.27,belle,5/7/2021
A63,11,3,-68.03,-57.04,belle,5/7/2021
A64,11,8,-67.89,-61.29,belle,5/7/2021
A69A,10,9,-67.61,-61.24,belle,5/7/2021
A69B,10,7,-67.26,-60.74,belle,5/7/2021
A70,8,5,-69.41,-60.31,belle,5/7/2021
A71,8,3,-69.55,-60.71,belle,5/7/2021
A74,30,18,-75.21,-26.21,belle,5/7/2021
A75,6,3,-72.12,-59.74,belle,5/7/2021
B09B,24,8,-66.27,143.4,wilke,5/7/2021
B09G,11,7,-68.2,41.81,amerw,5/7/2021
B09I,12,6,-67.53,-45.92,belle,5/7/2021
B15AB,11,4,-66.04,51.05,amerw (grounded),5/7/2021
B22A,38,24,-73.92,-109.39,amune (grounded),5/7/2021
B28,9,6,-74.67,-108.77,amune (grounded),5/7/2021
B29,11,5,-74.51,-108.91,amune (grounded),5/7/2021
B37,8,3,-72.51,-112.24,amune,5/7/2021
B38,6,4,-77.01,-155.06,rosse,5/7/2021
B39,8,4,-68.37,32.97,amerw,5/7/2021
B40,6,5,-65.63,132.17,wilke (grounded),5/7/2021
B42,12,4,-73.65,-134.55,amunw,5/7/2021
B45,7,6,-74.69,-109.34,amune (grounded),5/7/2021
B46,10,4,-72.34,-113.19,amune,5/7/2021
B47,12,5,-73.8,-133.85,amunw (grounded),5/7/2021
B50,15,6,-74.52,-145.72,amunw,5/7/2021
C15,12,8,-65.97,143.27,wilke,5/7/2021
C18B,19,4,-66.59,89.55,amere,5/7/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),5/7/2021
C24,11,2,-64.84,96.02,wilkw (grounded),5/7/2021
C29,5,5,-66.08,142.84,wilke,5/7/2021
C30,9,3,-64.78,96.3,wilkw (grounded),5/7/2021
C31,9,3,-64.68,96.51,wilkw (grounded),5/7/2021
C33,8,4,-65.43,126.62,wilke,5/7/2021
C35,7,5,-67.52,148,wilke,5/7/2021
C36,22,15,-67.94,147.48,wilke,5/7/2021
D15A,51,24,-66.64,81.91,amere (grounded),5/7/2021
D15B,33,12,-66.99,81.58,amere (grounded),5/7/2021
D20A,19,9,-68.39,36.21,amerw,5/7/2021
D23,8,6,-69.43,74.66,amere (grounded),5/7/2021
D26,19,2,-69.36,29.4,wedde (grounded),5/7/2021
D27,8,5,-66.61,64.01,amere,5/7/2021
D28,29,19,-67.97,34.52,amerw,5/7/2021
A23A,40,34,-75.71,-40.18,belle,5/14/2021
A63,11,3,-68.1,-56.28,belle,5/14/2021
A64,11,8,-68.04,-61.06,belle,5/14/2021
A69A,10,9,-67.72,-61.12,belle,5/14/2021
A69B,10,7,-67.27,-60.71,belle,5/14/2021
A70,8,5,-69.32,-60.17,belle,5/14/2021
A71,8,3,-69.48,-60.65,belle,5/14/2021
A74,30,18,-75.27,-26.44,belle,5/14/2021
A76,89,14,-75.26,-58.94,belle,5/14/2021
B09B,24,8,-66.27,143.4,wilke,5/14/2021
B09G,11,7,-68.2,41.81,amerw,5/14/2021
B09I,12,6,-67.28,-45.04,belle,5/14/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),5/14/2021
B22A,38,24,-73.92,-109.39,amune (grounded),5/14/2021
B28,9,6,-74.67,-108.77,amune (grounded),5/14/2021
B29,11,5,-74.51,-108.91,amune (grounded),5/14/2021
B37,8,3,-72.45,-112.44,amune,5/14/2021
B38,6,4,-77.01,-155.06,rosse,5/14/2021
B39,8,4,-68.55,31.96,amerw,5/14/2021
B40,6,5,-65.63,132.17,wilke (grounded),5/14/2021
B42,12,4,-73.7,-135.6,amunw,5/14/2021
B45,7,6,-74.69,-109.34,amune (grounded),5/14/2021
B46,10,4,-72.25,-113.26,amune,5/14/2021
B47,12,5,-73.8,-133.85,amunw (grounded),5/14/2021
B50,15,6,-74.56,-146.74,amunw,5/14/2021
C15,12,8,-65.97,143.27,wilke,5/14/2021
C18B,19,4,-66.59,89.55,amere (grounded),5/14/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),5/14/2021
C24,11,2,-64.84,96.02,wilkw (grounded),5/14/2021
C29,5,5,-66.08,142.84,wilke,5/14/2021
C30,9,3,-64.78,96.3,wilkw (grounded),5/14/2021
C31,9,3,-64.68,96.51,wilkw (grounded),5/14/2021
C33,8,4,-65.43,126.62,wilke (grounded),5/14/2021
C35,7,5,-67.37,147.98,wilke,5/14/2021
C36,22,15,-67.94,147.48,wilke,5/14/2021
D15A,51,24,-66.64,81.91,amere (grounded),5/14/2021
D15B,33,12,-66.99,81.58,amere (grounded),5/14/2021
D20A,19,9,-68.42,36.2,amerw,5/14/2021
D23,8,6,-69.43,74.66,amere (grounded),5/14/2021
D26,19,2,-69.36,29.4,wedde (grounded),5/14/2021
D27,8,5,-66.73,61.31,amere,5/14/2021
D28,29,19,-68.2,32.93,amerw,5/14/2021
A23A,40,34,-75.69,-39.9,belle,5/21/2021
A63,11,3,-68.17,-55.83,belle,5/21/2021
A64,11,8,-68.04,-60.79,belle,5/21/2021
A69A,10,9,-67.76,-60.83,belle,5/21/2021
A69B,10,7,-67.32,-60.51,belle,5/21/2021
A70,8,5,-69.33,-59.86,belle,5/21/2021
A71,8,3,-69.51,-60.3,belle,5/21/2021
A74,30,18,-75.23,-26.42,belle,5/21/2021
A76,89,14,-75.24,-58.99,belle,5/21/2021
B09B,24,8,-66.27,143.4,wilke,5/21/2021
B09G,11,7,-68.2,41.81,amerw,5/21/2021
B09I,12,6,-66.87,-43.91,belle,5/21/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),5/21/2021
B22A,38,24,-73.92,-109.39,amune (grounded),5/21/2021
B28,9,6,-74.66,-108.77,amune (grounded),5/21/2021
B29,11,5,-74.5,-108.91,amune (grounded),5/21/2021
B37,8,3,-72.36,-112.8,amune,5/21/2021
B38,6,4,-77.01,-155.06,rosse,5/21/2021
B39,8,4,-69.38,28.31,wedde,5/21/2021
B40,6,5,-65.63,132.17,wilke (grounded),5/21/2021
B42,12,4,-73.62,-135.17,amunw,5/21/2021
B45,7,6,-74.68,-109.34,amune (grounded),5/21/2021
B46,10,4,-72.14,-113.57,amune,5/21/2021
B47,12,5,-73.79,-133.82,amunw (grounded),5/21/2021
B50,15,6,-74.42,-146.91,amunw,5/21/2021
C15,12,8,-65.97,143.27,wilke,5/21/2021
C18B,19,4,-66.59,89.55,amere (grounded),5/21/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),5/21/2021
C24,11,2,-64.84,96.02,wilkw (grounded),5/21/2021
C29,5,5,-66.08,142.84,wilke,5/21/2021
C30,9,3,-64.78,96.3,wilkw (grounded),5/21/2021
C31,9,3,-64.68,96.51,wilkw (grounded),5/21/2021
C33,8,4,-65.43,126.62,wilke (grounded),5/21/2021
C35,7,5,-67.38,147.88,wilke,5/21/2021
C36,22,15,-67.94,147.48,wilke,5/21/2021
D15A,51,24,-66.64,81.91,amere (grounded),5/21/2021
D15B,33,12,-66.99,81.58,amere (grounded),5/21/2021
